fief,EYS02,Yarm,EYS00,10000,4.00,2.00,0,10.00,10.00,52000,104000,39000,52000,5.00,2631000,10.00,52000,104000,39000,52000,5.00,246000,0,246000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00,5.00,C,lang_C2,terr_P,0,246000,false,false,15,Char_236,Char_236,Char_236,,
fief,EYS03,Bowes,EYS00,9000,6.00,0.00,0,10.00,10.00,48000,96000,36000,48000,5.00,3599000,10.00,48000,96000,36000,48000,7.00,227000,0,227000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00,5.00,C,lang_C2,terr_P,0,227000,false,false,17,Char_236,Char_236,Char_236,,
fief,EYS04,Whitby,EYS00,10000,3.00,2.00,0,10.00,10.00,52000,104000,39000,52000,5.00,2076000,10.00,52000,104000,39000,52000,5.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00,5.00,C,lang_C2,terr_P,0,247000,false,false,17,Char_47,Char_47,Char_47,,
fief,EYS05,Helmsley,EYS00,9000,6.00,0.00,0,10.00,10.00,48000,96000,36000,48000,8.00,3599000,10.00,48000,96000,36000,48000,7.00,227000,0,227000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00,8.00,C,lang_C2,terr_P,0,227000,false,false,15,Char_266,Char_266,Char_266,,
fief,EYS06,Thirsk,EYS00,10000,6.00,0.00,0,10.00,10.00,52000,104000,39000,52000,6.00,3322000,10.00,52000,104000,39000,52000,4.00,247000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00,6.00,C,lang_C2,terr_P,0,247000,false,false,15,Char_164,Char_164,Char_164,,
fief,EYS07,Masham,EYS00,4000,3.00,0.00,0,0.00,0.00,24000,48000,18000,24000,8.00,3599000,0.00,24000,48000,18000,24000,2.00,113000,0,113000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,8.00,C,lang_C2,terr_P,0,113000,false,false,17,Char_47,Char_47,Char_47,,
fief,EYS08,Scarborough,EYS00,16000,5.00,2.00,0,10.00,10.00,80000,160000,60000,80000,7.00,2439000,10.00,80000,160000,60000,80000,6.00,379000,0,379000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,7.00,C,lang_C2,terr_P,0,379000,false,false,15,Char_47,Char_47,Char_47,,
fief,EYS09,Stamford Bridge,EYS00,9000,6.00,0.00,0,10.00,10.00,48000,96000,36000,48000,5.00,3599000,10.00,48000,96000,36000,48000,7.00,227000,0,227000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00,5.00,C,lang_C2,terr_P,0,227000,false,false,17,Char_126,Char_126,Char_126,,
fief,EYS10,York,EYS00,44000,9.00,3.00,0,20.00,20.00,224000,448000,168000,224000,7.00,3844000,20.00,224000,448000,168000,224000,21.00,1065000,0,1065000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.00,7.00,C,lang_C2,terr_P,0,1065000,false,false,17,Char_47,Char_47,Char_47,,
fief,EYS11,Harrogate,EYS00,4000,3.00,3.00,0,0.00,0.00,24000,48000,18000,24000,6.00,3887000,0.00,24000,48000,18000,24000,5.00,114000,0,114000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00,6.00,C,lang_C2,terr_H,0,114000,false,false,17,Char_284,Char_284,Char_284,,
fief,EYS12,Hull,EYS00,20000,8.00,2.00,0,10.00,10.00,100000,200000,75000,100000,6.00,3103000,10.00,100000,200000,75000,100000,8.00,474000,0,474000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00,6.00,C,lang_C2,terr_P,0,475000,false,false,17,Char_47,Char_47,Char_47,,
fief,EYS13,Market Weighton,EYS00,14000,8.00,0.00,0,10.00,10.00,72000,144000,54000,72000,5.00,3199000,10.00,72000,144000,54000,72000,6.00,342000,0,342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,5.00,C,lang_C2,terr_P,0,342000,false,false,17,Char_47,Char_47,Char_47,,
fief,EYS14,Selby,EYS00,12000,8.00,0.00,0,10.00,10.00,60000,120000,45000,60000,6.00,3839000,10.00,60000,120000,45000,60000,10.00,285000,0,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.00,6.00,C,lang_C2,terr_P,0,285000,false,false,17,Char_92,Char_92,Char_92,,
fief,EYS15,Leeds,EYS00,16000,5.00,2.00,0,10.00,10.00,80000,160000,60000,80000,5.00,2439000,10.00,80000,160000,60000,80000,6.00,379000,0,379000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,5.00,C,lang_C2,terr_P,0,379000,false,false,15,Char_284,Char_284,Char_284,,
fief,EYS16,Bradford,EYS00,4000,3.00,0.00,0,0.00,0.00,24000,48000,18000,24000,5.00,3599000,0.00,24000,48000,18000,24000,2.00,113000,0,113000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,5.00,C,lang_C2,terr_H,0,113000,false,false,17,Char_284,Char_284,Char_284,,
fief,EYS17,Isle of Axholme,EYS00,9000,6.00,2.00,0,0.00,0.00,48000,96000,36000,48000,5.00,3983000,0.00,48000,96000,36000,48000,8.00,228000,0,228000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00,5.00,C,lang_C2,terr_P,0,228000,false,false,15,Char_164,Char_164,Char_164,,
fief,EYS18,Wakefield,EYS00,16000,5.00,2.00,0,10.00,10.00,80000,160000,60000,80000,8.00,2439000,10.00,80000,160000,60000,80000,6.00,379000,0,379000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,8.00,C,lang_C2,terr_P,0,379000,false,false,15,Char_281,Char_281,Char_281,,
fief,EYS19,Conisbrough,EYS00,4000,3.00,0.00,0,0.00,0.00,24000,48000,18000,24000,8.00,3599000,0.00,24000,48000,18000,24000,2.00,114000,0,114000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,8.00,C,lang_C2,terr_H,0,114000,false,false,17,Char_281,Char_281,Char_281,,
fief,SHI01,Highlands,SHI00,80000,60.00,0.00,0,40.00,40.00,400000,801000,300000,400000,4.00,3671000,40.00,400000,801000,300000,400000,60.00,1901000,0,1901000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.00,4.00,C,lang_C1,terr_H,0,1902000,false,false,15,Char_40,Char_40,Char_40,,
fief,SLO01,Lowlands,SLO00,120000,90.00,0.00,0,50.00,50.00,510000,1020000,382000,510000,5.00,3839000,50.00,510000,1020000,382000,510000,75.00,2421000,0,2421000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.00,5.00,C,lang_C1,terr_P,0,2422000,false,false,15,Char_40,Char_40,Char_40,,
fief,SMA01,Marches,SMA00,200000,70.00,3.00,0,30.00,30.00,1001000,2002000,751000,1001000,6.00,13727000,30.00,1001000,2002000,751000,1001000,55.00,4753000,0,4753000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.00,6.00,C,lang_C1,terr_P,0,4754000,false,false,15,Char_40,Char_40,Char_40,,
fief,EMN01,Isle of Man,EMN00,5000,2.00,0.00,0,0.00,0.00,28000,56000,21000,28000,8.00,2056000,0.00,28000,56000,21000,28000,3.00,132000,0,132000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00,8.00,C,lang_C6,terr_P,0,132000,false,false,17,Char_47,Char_47,Char_47,,
province,EAR00,Shropshire,11,0.00,Char_47,Char_47,E0000
province,EBK00,Buckingham,11,0.00,Char_47,Char_47,E0000
province,ECG00,Cambridge,11,0.00,Char_40,Char_40,E0000
province,ECH00,Cheshire,11,0.00,Char_244,Char_244,E0000
province,ECU00,Cumberland,11,0.00,Char_47,Char_47,E0000
province,ECW00,Cornwall,11,0.00,Char_47,Char_47,E0000
province,EDR00,Derby,11,0.00,Char_292,Char_292,E0000
province,EDT00,Dorsetshire,11,0.00,Char_47,Char_47,E0000
province,EDU00,Durham,6,0.00,Char_46,Char_46,E0000
province,EDV00,Devon,11,0.00,Char_239,Char_239,E0000
province,EEX00,Essex,11,0.00,Char_233,Char_233,E0000
province,EGL00,Gloucestershire,11,0.00,Char_97,Char_97,E0000
province,EHE00,Hereford,11,0.00,Char_47,Char_47,E0000
province,EHM00,Hampshire,11,0.00,Char_47,Char_47,E0000
province,EKE00,Kent,11,0.00,Char_47,Char_47,E0000
province,ELA00,Lancaster,11,0.00,Char_47,Char_47,E0000
province,ELC00,Lincolnshire,11,0.00,Char_237,Char_237,E0000
province,ELN00,London,7,0.00,Char_47,Char_47,E0000
province,ENF00,Norfolk,11,0.00,Char_265,Char_265,E0000
province,ENH00,Leicester,11,0.00,Char_93,Char_93,E0000
province,ENO00,Nottingham,11,0.00,Char_292,Char_292,E0000
province,ENU00,Northumberland,11,0.00,Char_46,Char_46,E0000
province,ENW00,North Wales,9,0.00,Char_261,Char_261,E0000
province,EOX00,Oxfordshire,11,0.00,Char_280,Char_280,E0000
province,EPM00,Pembroke,11,0.00,Char_158,Char_158,E0000
province,ESM00,Somerset,11,0.00,Char_47,Char_47,E0000
province,ESR00,Surrey,11,0.00,Char_281,Char_281,E0000
province,EST00,Staffordshire,11,0.00,Char_47,Char_47,E0000
province,ESU00,Hertford,11,0.00,Char_186,Char_186,E0000
province,ESW00,South Wales,9,0.00,Char_196,Char_196,E0000
province,ESX00,Sussex,11,0.00,Char_165,Char_165,E0000
province,ESY00,Salisbury,15,0.00,Char_101,Char_101,E0000
province,EWK00,Warwickshire,11,0.00,Char_256,Char_256,E0000
province,EYS00,Yorkshire,11,0.00,Char_47,Char_47,E0000
province,SHI00,Highlands,11,0.00,Char_40,Char_40,S0000
province,SLO00,Lowlands,11,0.00,Char_40,Char_40,S0000
province,SMA00,Marches,11,0.00,Char_40,Char_40,S0000
province,EMN00,Man,17,0.00,Char_47,Char_47,E0000
pc,Char_1,Henry,de Nonant,1145,,true,Eng,true,5.00,3.00,lang_C2,90,0,4.00,3.66,true,false,Char_1,Char_1190,,,,false,500,EDV08,EDV08,EDV08,,someGuy001
pc,Char_18,Simon,de Beauchamp,1150,,true,Eng,true,5.00,6.00,lang_C2,90,0,8.00,4.33,true,false,Char_18,Char_579,,,,false,500,ECG05,ECG05,ECG05,,
pc,Char_19,Simon,d'Avranches,1169,,true,Eng,true,6.00,6.00,lang_C2,90,0,4.00,3.66,true,false,Char_19,,,,,false,500,EKE06,EKE06,EKE06,,
pc,Char_20,Geoffrey,de Say,1155,,true,Eng,true,5.00,8.00,lang_C2,90,0,1.00,3.33,true,false,Char_20,Char_672,,,,false,500,EKE01,EKE01,EKE01,,
pc,Char_21,Reginald,de Mohun,1183,,true,Eng,true,7.00,5.00,lang_C2,90,0,1.00,6.00,true,false,Char_21,Char_1194,,,,false,500,ESM02,ESM02,ESM02,,
pc,Char_32,William,de Warenne,1158,,true,Eng,true,7.00,7.00,lang_C2,90,0,8.00,5.00,true,false,Char_32,Char_554,,,,false,500,ENF05,ENF05,ENF05,,
pc,Char_45,Henry,de Bohun,1171,,true,Eng,true,5.00,5.00,lang_C2,90,0,7.00,3.66,true,false,Char_45,,,,,false,500,ESY01,ESY01,ESY01,,
pc,Char_46,Hugh de Puiset,Bishop Durham,1125,,true,Eng,true,6.00,6.00,lang_C2,90,0,7.00,3.66,true,false,Char_46,,,,,false,5000,EDU01,EDU01,EDU01,,
pc,Char_47,King Richard I,Plantaganet,1157,,true,Eng,true,9.00,1.00,lang_C2,90,0,9.00,8.00,true,false,Char_47,Char_589,,,,false,5000,ELN01,ELN01,ELN01,,
pc,Char_91,Gilbert,de Ghent,1180,,true,Eng,true,6.00,5.00,lang_C2,90,0,1.00,5.00,true,false,Char_91,,,,,false,500,ELC01,ELC01,ELC01,,
pc,Char_92,Manly,Percy,1134,,true,Eng,true,5.00,7.00,lang_C2,90,0,6.00,4.66,true,false,Char_92,,,,,false,5000,EYS14,EYS14,EYS14,,
pc,Char_93,Robert,Beaumont,1169,,true,Eng,true,5.00,3.00,lang_C2,90,0,8.00,6.33,true,false,Char_93,,,,,false,5000,EDR04,EDR04,EDR04,,
pc,Char_96,Manly,de Courtenay,1135,,true,Eng,true,5.00,2.00,lang_C2,90,0,7.00,6.66,true,false,Char_96,Char_331,,,,false,5000,EDV05,EDV05,EDV05,,
pc,Char_97,Manly,de Gloucester,1166,,true,Eng,true,5.00,7.00,lang_C2,90,0,9.00,2.33,true,false,Char_97,,,,,false,5000,EGL06,EGL06,EGL06,,
pc,Char_101,William,de Salisbury,1154,,true,Eng,true,5.00,5.00,lang_C2,90,0,5.00,4.00,true,false,Char_101,Char_463,,,,false,5000,ESY02,ESY02,ESY02,,
pc,Char_102,Ranulph,Greystoke,1132,,true,Eng,true,7.00,5.00,lang_C2,90,0,5.00,3.33,true,false,Char_102,Char_340,,,,false,500,ECU04,ECU04,ECU04,,
pc,Char_111,William,FitzMartin,1155,,true,Eng,true,8.00,8.00,lang_C2,90,0,3.00,4.66,true,false,Char_111,Char_1139,,,,false,5000,ESM03,ESM03,ESM03,,
pc,Char_126,Eustace,de Vescy,1170,,true,Eng,true,8.00,7.00,lang_C2,90,0,3.00,4.00,true,false,Char_126,Char_754,,,,false,5000,ENU02,ENU02,ENU02,,
pc,Char_158,William,Marshal,1146,,true,Eng,true,8.00,8.00,lang_C2,90,0,8.00,8.66,true,false,Char_158,Char_356,,,,false,7000,EPM02,EPM02,EPM02,,
pc,Char_159,Manly,de Lancaster,1167,,true,Eng,true,5.00,3.00,lang_C2,90,0,5.00,5.00,true,false,Char_159,Char_610,,,,false,500,ECU07,ECU07,ECU07,,
pc,Char_161,Oliver,Tracy,1158,,true,Eng,true,5.00,5.00,lang_C2,90,0,6.00,7.33,true,false,Char_161,Char_1195,,,,false,500,EDV02,EDV02,EDV02,,
pc,Char_162,Hugh,Morville,1162,,true,Eng,true,5.00,8.00,lang_C2,90,0,7.00,6.66,true,false,Char_162,,,,,false,500,ECU03,ECU03,ECU03,,
pc,Char_163,Thomas,St-Valery,1167,,true,Eng,true,5.00,9.00,lang_C2,90,0,8.00,6.66,true,false,Char_163,Char_752,,,,false,500,EOX01,EOX01,EOX01,,
pc,Char_164,William,Mowbray,1167,,true,Eng,true,5.00,4.00,lang_C2,90,0,7.00,5.00,true,false,Char_164,Char_1141,,,,false,5000,EYS06,EYS06,EYS06,,
pc,Char_165,William IV,d'Aubigny,1165,,true,Eng,true,6.00,7.00,lang_C2,90,0,1.00,4.00,true,false,Char_165,Char_733,,,,false,5000,ESX05,ESX05,ESX05,,
pc,Char_166,Eustace,Balliol,1168,,true,Eng,true,5.00,5.00,lang_C2,90,0,5.00,4.33,true,false,Char_166,Char_718,,,,false,5000,ENU05,ENU05,ENU05,,
pc,Char_168,Ralph,de Somery,1151,,true,Eng,true,5.00,3.00,lang_C2,90,0,9.00,3.33,true,false,Char_168,Char_613,,,,false,500,EWK03,EWK03,EWK03,,
pc,Char_184,Robert,Berkeley,1165,,true,Eng,true,5.00,7.00,lang_C2,90,0,5.00,3.33,true,false,Char_184,,,,,false,500,ESY03,ESY03,ESY03,,
pc,Char_185,Robert,de Beauchamp,1150,,true,Eng,true,5.00,2.00,lang_C2,90,0,5.00,6.33,true,false,Char_185,Char_326,,,,false,500,ESM06,ESM06,ESM06,,
pc,Char_186,Richard,de Clare,1153,,true,Eng,true,5.00,6.00,lang_C2,90,0,2.00,2.33,true,false,Char_186,Char_553,,,,false,5000,ESU06,ESU06,ESU06,,
pc,Char_187,Thomas,Darcy,1167,,true,Eng,true,5.00,6.00,lang_C2,90,0,6.00,4.33,true,false,Char_187,Char_1208,,,,false,500,ELC03,ELC03,ELC03,,
pc,Char_192,Roger,de Mortimer,1158,,true,Eng,true,8.00,5.00,lang_C2,90,0,2.00,5.00,true,false,Char_192,Char_629,,,,false,500,EHE02,EHE02,EHE02,,
pc,Char_194,Robert,de Cardinham,1175,,true,Eng,true,5.00,6.00,lang_C5,90,0,3.00,1.66,true,false,Char_194,,,,,false,500,ECW04,ECW04,ECW04,,
pc,Char_196,Rhys III,de Meriodoc,1132,,true,Eng,true,5.00,3.00,lang_C2,90,0,5.00,3.66,true,false,Char_196,,,,,false,500,ESW05,ESW05,ESW05,,
pc,Char_199,Ranulph,de Vaux,1157,,true,Eng,true,5.00,5.00,lang_C2,90,0,2.00,6.00,true,false,Char_199,Char_490,,,,false,500,ECU01,ECU01,ECU01,,
pc,Char_208,Richard,Basset,1160,,true,Eng,true,5.00,8.00,lang_C2,90,0,1.00,4.33,true,false,Char_208,Char_327,,,,false,500,ENH02,ENH02,ENH02,,
pc,Char_209,Philip,Tateshal,1152,,true,Eng,true,5.00,5.00,lang_C2,90,0,9.00,5.66,true,false,Char_209,Char_1215,,,,false,500,ELC06,ELC06,ELC06,,
pc,Char_211,Manly,de Stafford,1150,,true,Eng,true,5.00,5.00,lang_C2,90,0,8.00,5.66,true,false,Char_211,Char_343,,,,false,5000,EST02,EST02,EST02,,
pc,Char_213,Robert FitzMaldred,Neville,1174,,true,Eng,true,6.00,5.00,lang_C2,90,0,1.00,5.00,true,false,Char_213,Char_753,,,,false,500,EDU04,EDU04,EDU04,,
pc,Char_219,William,Malet,1176,,true,Eng,true,6.00,2.00,lang_C2,90,0,5.00,4.66,true,false,Char_219,Char_398,,,,false,500,ESM05,ESM05,ESM05,,
pc,Char_224,William,de Curcy,1168,,true,Eng,true,5.00,7.00,lang_C2,90,0,9.00,6.00,true,false,Char_224,,,,,false,500,ESM01,ESM01,ESM01,,
pc,Char_225,Manly,de Bolbec,1175,,true,Eng,true,6.00,7.00,lang_C2,90,0,5.00,2.33,true,false,Char_225,,,,,false,500,EBK02,EBK02,EBK02,,
pc,Char_226,William,de Braose,1153,,true,Eng,true,7.00,6.00,lang_C2,90,0,5.00,7.00,true,false,Char_226,Char_465,,,,false,5000,ESX03,ESX03,ESX03,,
pc,Char_228,William III,FitzAlan,1154,,true,Eng,true,5.00,3.00,lang_C2,90,0,3.00,5.66,true,false,Char_228,Char_740,,,,false,500,ENW03,ENW03,ENW03,,
pc,Char_229,William,de Bertram,1160,,true,Eng,true,6.00,3.00,lang_C2,90,0,3.00,4.66,true,false,Char_229,Char_1180,,,,false,500,ENU06,ENU06,ENU06,,
pc,Char_233,Manly,Mandeville,1164,,true,Eng,true,7.00,3.00,lang_C2,90,0,8.00,3.66,true,false,Char_233,Char_338,,,,false,5000,EEX03,EEX03,EEX03,,
pc,Char_236,Adam II,de Brus,1143,,true,Eng,true,6.00,7.00,lang_C2,90,0,8.00,2.66,true,false,Char_236,Char_1175,,,,false,500,EYS01,EYS01,EYS01,,
pc,Char_237,William,Roumare,1145,,true,Eng,true,5.00,3.00,lang_C2,90,0,8.00,3.33,true,false,Char_237,Char_367,,,,false,5000,ELC05,ELC05,ELC05,,
pc,Char_239,William,Redvers,1145,,true,Eng,true,6.00,4.00,lang_C2,90,0,6.00,2.00,true,false,Char_239,Char_658,,,,false,5000,EDV07,EDV07,EDV07,,
pc,Char_241,Robert,Marmion,1155,,true,Eng,true,5.00,6.00,lang_C2,90,0,6.00,1.66,true,false,Char_241,Char_1171,,,,false,500,EST04,EST04,EST04,,
pc,Char_244,Ranulph,de Blundeville le Meschines,1172,,true,Eng,true,7.00,5.00,lang_C2,90,0,8.00,3.66,true,false,Char_244,,,,,false,5000,ECH03,ECH03,ECH03,,
pc,Char_253,John,de Monmouth,1184,,true,Eng,true,6.00,7.00,lang_C2,90,0,9.00,2.66,true,false,Char_253,,,,,false,500,EHE05,EHE05,EHE05,,
pc,Char_254,Robert,de Crevequer,1169,,true,Eng,true,5.00,2.00,lang_C2,90,0,2.00,5.00,true,false,Char_254,,,,,false,500,EKE03,EKE03,EKE03,,
pc,Char_255,Robert II,Corbet,1151,,true,Eng,true,7.00,5.00,lang_C2,90,0,1.00,4.66,true,false,Char_255,Char_556,,,,false,500,EAR03,EAR03,EAR03,,
pc,Char_256,Waleran,Beaumont,1139,,true,Eng,true,5.00,7.00,lang_C2,90,0,8.00,5.00,true,false,Char_256,Char_352,,,,false,5000,EWK02,EWK02,EWK02,,
pc,Char_257,Robert,de Grelley,1192,,true,Eng,true,5.00,5.00,lang_C2,90,0,8.00,3.33,true,false,Char_257,,,,,false,500,ELA06,ELA06,ELA06,,
pc,Char_258,Walter,FitzWalter,1112,,true,Eng,true,5.00,4.00,lang_C2,90,0,1.00,5.66,true,false,Char_258,,,,,false,500,EEX05,EEX05,EEX05,,
pc,Char_259,William,Forz,1191,,true,Eng,true,5.00,3.00,lang_C2,90,0,1.00,5.00,true,false,Char_259,,,,,false,500,EAR05,EAR05,EAR05,,
pc,Char_261,Llewelyn Fawr,Gwynedd,1173,,true,Eng,true,6.00,6.00,lang_C1,90,0,8.00,6.00,true,false,Char_261,Char_1134,,,,false,500,ENW05,ENW05,ENW05,,
pc,Char_263,Ralph III,Lovel,1187,,true,Eng,true,5.00,5.00,lang_C2,90,0,7.00,3.66,true,false,Char_263,,,,,false,500,ESM04,ESM04,ESM04,,
pc,Char_264,Gilbert,l'Aigle,1170,,true,Eng,true,6.00,3.00,lang_C2,90,0,3.00,5.33,true,false,Char_264,,,,,false,500,ESX04,ESX04,ESX04,,
pc,Char_265,Roger,le Bigod,1149,,true,Eng,true,8.00,5.00,lang_C2,90,0,4.00,4.00,true,false,Char_265,Char_590,,,,false,5000,ESU01,ESU01,ESU01,,
pc,Char_266,Robert,Roos,1185,,true,Eng,true,5.00,3.00,lang_C2,90,0,8.00,5.33,true,false,Char_266,Char_1160,,,,false,7000,EYS05,EYS05,EYS05,,
pc,Char_267,Adam,St-John,1151,,true,Eng,true,5.00,7.00,lang_C2,90,0,7.00,2.33,true,false,Char_267,Char_455,,,,false,500,EHM01,EHM01,EHM01,,
pc,Char_268,Manly,of Holgate,1162,,true,Eng,true,5.00,5.00,lang_C2,90,0,2.00,3.66,true,false,Char_268,,,,,false,500,EAR04,EAR04,EAR04,,
pc,Char_270,Madoc IV,Cynfyn,1191,,true,Eng,true,8.00,7.00,lang_C2,90,0,7.00,2.33,true,false,Char_270,,,,,false,500,ENW09,ENW09,ENW09,,
pc,Char_275,Hugh,de Say,1156,,true,Eng,true,5.00,8.00,lang_C2,90,0,4.00,3.66,true,false,Char_275,Char_1173,,,,false,500,EHE01,EHE01,EHE01,,
pc,Char_276,Oliver,Deincourt,1162,,true,Eng,true,7.00,4.00,lang_C2,90,0,3.00,4.33,true,false,Char_276,Char_680,,,,false,500,ELC02,ELC02,ELC02,,
pc,Char_277,Walter,Dunstanville,1192,,true,Eng,true,6.00,2.00,lang_C2,90,0,8.00,5.33,true,false,Char_277,,,,,false,500,ESY05,ESY05,ESY05,,
pc,Char_278,William,d'Aubigny,1150,,true,Eng,true,7.00,7.00,lang_C2,90,0,3.00,1.66,true,false,Char_278,Char_440,,,,false,500,ELC07,ELC07,ELC07,,
pc,Char_280,Aubrey IV,de Vere,1163,,true,Eng,true,6.00,5.00,lang_C2,90,0,5.00,6.00,true,false,Char_280,,,,,false,5000,EEX02,EEX02,EEX02,,
pc,Char_281,Manly,de Warenne,1137,,true,Eng,true,7.00,4.00,lang_C2,90,0,2.00,6.33,true,false,Char_281,Char_332,,,,false,5000,ESR03,ESR03,ESR03,,
pc,Char_283,Richard,de Camville,1177,,true,Eng,true,6.00,8.00,lang_C2,90,0,7.00,2.33,true,false,Char_283,,,,,false,500,EPM04,EPM04,EPM04,,
pc,Char_284,Roger,de Lacy,1171,,true,Eng,true,5.00,5.00,lang_C2,90,0,5.00,2.66,true,false,Char_284,Char_786,,,,false,500,EYS15,EYS15,EYS15,,
pc,Char_292,William,de Ferrers,1185,,true,Eng,true,5.00,3.00,lang_C2,90,0,1.00,5.33,true,false,Char_292,Char_741,,,,false,5000,EST03,EST03,EST03,,
pc,Char_294,Ralph,Musard,1169,,true,Eng,true,5.00,3.00,lang_C2,90,0,1.00,5.66,true,false,Char_294,,,,,false,500,EDR01,EDR01,EDR01,,
pc,Char_40,William I,Dunkeld,1143,,true,Sco,true,5.00,4.00,lang_C1,90,0,4.00,7.00,true,false,Char_40,Char_796,,,,false,5000,SMA01,SMA01,SMA01,,
npc,Char_4000,Odo,de Shrewsbury,1150,,true,Eng,true,8.00,3.00,lang_C2,90,0,4.00,4.00,true,false,,,,,,10000,false,false,EAR02,,Char_47
npc,Char_4001,Irad,de Watford,1154,,true,Eng,true,6.00,1.00,lang_C2,90,0,9.00,3.33,true,false,,,,,,10000,false,false,EBK03,,Char_47
npc,Char_4002,Piers,de High Wycombe,1158,,true,Eng,true,5.00,3.00,lang_C2,90,0,4.00,5.00,true,false,,,,,,10000,false,false,EBK04,,Char_47
npc,Char_4003,Jack,de Carlisle,1162,,true,Eng,true,5.00,5.00,lang_C2,90,0,6.00,5.00,true,false,,,,,,10000,false,false,ECU02,,Char_47
npc,Char_4004,Mortimer,de Bude,1166,,true,Eng,true,6.00,4.00,lang_C5,90,0,6.00,4.66,true,false,,,,,,10000,false,false,ECW01,,Char_47
npc,Char_4005,Sean,de Saltash,1151,,true,Eng,true,5.00,7.00,lang_C5,90,0,2.00,5.66,true,false,,,,,,10000,false,false,ECW02,,Char_47
npc,Char_4006,James,de Meregissey,1155,,true,Eng,true,7.00,3.00,lang_C5,90,0,8.00,4.33,true,false,,,,,,10000,false,false,ECW03,,Char_47
npc,Char_4007,Herve,de Penzance,1159,,true,Eng,true,8.00,1.00,lang_C5,90,0,5.00,6.00,true,false,,,,,,10000,false,false,ECW05,,Char_47
npc,Char_4008,Edgar,de Derby,1163,,true,Eng,true,7.00,1.00,lang_C2,90,0,4.00,6.66,true,false,,,,,,10000,false,false,EDR02,,Char_47
npc,Char_4009,Roger,de Corfe,1167,,true,Eng,true,8.00,8.00,lang_C2,90,0,6.00,6.00,true,false,,,,,,10000,false,false,EDT03,,Char_47
npc,Char_4010,Edward,de Weymouth,1152,,true,Eng,true,5.00,4.00,lang_C2,90,0,5.00,5.33,true,false,,,,,,10000,false,false,EDT04,,Char_47
npc,Char_4011,Richard,de Compton,1156,,true,Eng,true,6.00,8.00,lang_C2,90,0,5.00,5.00,true,false,,,,,,10000,false,false,EDV06,,Char_47
npc,Char_4012,Piers,de Burnham-on-Crouch,1160,,true,Eng,true,8.00,7.00,lang_C2,90,0,8.00,5.00,true,false,,,,,,10000,false,false,EEX04,,Char_47
npc,Char_4014,Alan,de Hereford,1168,,true,Eng,true,5.00,8.00,lang_C2,90,0,8.00,3.00,true,false,,,,,,10000,false,false,EHE03,,Char_47
npc,Char_4015,John,de Winchester,1150,,true,Eng,true,5.00,2.00,lang_C2,90,0,5.00,5.66,true,false,,,,,,10000,false,false,EHM02,,Char_47
npc,Char_4016,William,de Portsmouth,1154,,true,Eng,true,6.00,7.00,lang_C2,90,0,2.00,4.66,true,false,,,,,,10000,false,false,EHM04,,Char_47
npc,Char_4017,George,de Sothampton,1158,,true,Eng,true,7.00,4.00,lang_C2,90,0,5.00,6.66,true,false,,,,,,10000,false,false,EHM05,,Char_47
npc,Char_4018,Henry,de Sandwich,1162,,true,Eng,true,8.00,6.00,lang_C2,90,0,1.00,5.00,true,false,,,,,,10000,false,false,EKE02,,Char_47
npc,Char_4019,Guy,de Dover,1166,,true,Eng,true,8.00,8.00,lang_C2,90,0,7.00,6.00,true,false,,,,,,10000,false,false,EKE05,,Char_47
npc,Char_4020,Edward,de Carnforth,1151,,true,Eng,true,5.00,5.00,lang_C2,90,0,6.00,2.00,true,false,,,,,,10000,false,false,ELA02,,Char_47
npc,Char_4021,James,de Lancaster,1155,,true,Eng,true,6.00,5.00,lang_C2,90,0,7.00,4.66,true,false,,,,,,10000,false,false,ELA03,,Char_47
